"Harris_1788A.rtf" "Harris_1793.rtf" "placeholder"
"n" 0.298852406758049 0.0617703378837482 0
"fine" 0.203219636595473 0.203842115016369 0
"more" 0.211189034109021 0.172956946074495 0
"their" 0.223143130379343 0.154425844709371 0
"being" 0.151418552757412 0.259435419111743 0
"two" 0.223143130379343 0.135894743344246 0
"been" 0.207204335352247 0.154425844709371 0
"about" 0.103602167676124 0.302674655630366 0
"had" 0.11954096270322 0.277966520476867 0
"hair" 0.183296142811603 0.17913397986287 0
"would" 0.179311444054829 0.185311013651245 0
"such" 0.199234937838699 0.142071777132621 0
"fair" 0.147433854000638 0.197665081227994 0
"girl" 0.127510360216768 0.228550250169868 0
"now" 0.187280841568377 0.135894743344246 0
"our" 0.203219636595473 0.105009574402372 0
"than" 0.15938795027096 0.16677991228612 0
"much" 0.123525661459994 0.210019148804744 0
"never" 0.163372649027733 0.142071777132621 0
"some" 0.135479757730316 0.185311013651245 0
"pleasure" 0.171342046541281 0.123540675767496 0
"they" 0.171342046541281 0.123540675767496 0
"rather" 0.115556263946446 0.203842115016369 0
"nature" 0.187280841568377 0.0864784730372475 0
"first" 0.131495058973542 0.16677991228612 0
"little" 0.155403251514186 0.129717709555871 0
"man" 0.151418552757412 0.129717709555871 0
"time" 0.107586866432898 0.197665081227994 0
"young" 0.0677398788651578 0.259435419111743 0
"street" 0.191265540325151 0.0555933040953734 0
"him" 0.123525661459994 0.148248810920996 0
"make" 0.143449155243864 0.117363641979122 0
"those" 0.111571565189672 0.160602878497745 0
"charms" 0.13946445648709 0.111186608190747 0
"into" 0.115556263946446 0.135894743344246 0
"s" 0.147433854000638 0.0803014392488727 0
"where" 0.0996174689193497 0.154425844709371 0
"cannot" 0.127510360216768 0.105009574402372 0
"give" 0.103602167676124 0.135894743344246 0
"must" 0.127510360216768 0.0988325406139972 0
"without" 0.111571565189672 0.123540675767496 0
"beauty" 0.0956327701625757 0.142071777132621 0
"great" 0.0876633726490277 0.154425844709371 0
"years" 0.0836786738922538 0.160602878497745 0
"yet" 0.107586866432898 0.123540675767496 0
"does" 0.151418552757412 0.0494162703069986 0
"present" 0.0916480714058017 0.142071777132621 0
"them" 0.107586866432898 0.117363641979122 0
"then" 0.127510360216768 0.0864784730372475 0
"dark" 0.111571565189672 0.105009574402372 0
"genteel" 0.0717245776219318 0.16677991228612 0
"only" 0.115556263946446 0.0988325406139972 0
"pretty" 0.11954096270322 0.0926555068256223 0
"soon" 0.0757092763787058 0.160602878497745 0
"what" 0.107586866432898 0.111186608190747 0
"always" 0.0677398788651578 0.16677991228612 0
"complexion" 0.111571565189672 0.0988325406139972 0
"many" 0.0916480714058017 0.129717709555871 0
"r" 0.135479757730316 0.0617703378837482 0
"agreeable" 0.0876633726490277 0.129717709555871 0
"black" 0.115556263946446 0.0864784730372475 0
"ever" 0.0956327701625757 0.117363641979122 0
"its" 0.147433854000638 0.0370622027302489 0
"tall" 0.103602167676124 0.105009574402372 0
"teeth" 0.0956327701625757 0.117363641979122 0
"woman" 0.0717245776219318 0.154425844709371 0
"d" 0.123525661459994 0.067947371672123 0
"other" 0.0996174689193497 0.105009574402372 0
"there" 0.107586866432898 0.0926555068256223 0
"delight" 0.115556263946446 0.0741244054604979 0
"gentleman" 0.0597704813516098 0.160602878497745 0
"made" 0.0876633726490277 0.117363641979122 0
"short" 0.107586866432898 0.0864784730372475 0
"whole" 0.103602167676124 0.0926555068256223 0
"amorous" 0.0916480714058017 0.105009574402372 0
"here" 0.111571565189672 0.0741244054604979 0
"like" 0.0876633726490277 0.111186608190747 0
"whose" 0.11954096270322 0.0617703378837482 0
"face" 0.0996174689193497 0.0864784730372475 0
"take" 0.111571565189672 0.067947371672123 0
"up" 0.0956327701625757 0.0926555068256223 0
"eye" 0.111571565189672 0.0617703378837482 0
"guinea" 0.0757092763787058 0.117363641979122 0
"herself" 0.0557857825948358 0.142071777132621 0
"life" 0.0757092763787058 0.111186608190747 0
"still" 0.103602167676124 0.067947371672123 0
"fond" 0.0637551801083838 0.123540675767496 0
"hand" 0.103602167676124 0.0617703378837482 0
"i" 0.0796939751354798 0.0988325406139972 0
"upon" 0.0677398788651578 0.117363641979122 0
"disposition" 0.0876633726490277 0.0803014392488727 0
"long" 0.0637551801083838 0.117363641979122 0
"pleasing" 0.0996174689193497 0.0617703378837482 0
"should" 0.0916480714058017 0.0741244054604979 0
"size" 0.0956327701625757 0.067947371672123 0
"w" 0.11954096270322 0.0308851689418741 0
"beautiful" 0.0717245776219318 0.0988325406139972 0
"c" 0.103602167676124 0.0494162703069986 0
"full" 0.111571565189672 0.0370622027302489 0
"guineas" 0.103602167676124 0.0494162703069986 0
"nor" 0.115556263946446 0.0308851689418741 0
"venus" 0.0717245776219318 0.0988325406139972 0
"heart" 0.0916480714058017 0.0617703378837482 0
"though" 0.0757092763787058 0.0864784730372475 0
"age" 0.0597704813516098 0.105009574402372 0
"arms" 0.0836786738922538 0.067947371672123 0
"l" 0.0996174689193497 0.0432392365186238 0
"out" 0.0677398788651578 0.0926555068256223 0
"town" 0.0597704813516098 0.105009574402372 0
"b" 0.0916480714058017 0.0494162703069986 0
"joy" 0.111571565189672 0.0185311013651245 0
"lovely" 0.0796939751354798 0.067947371672123 0
"might" 0.0876633726490277 0.0555933040953734 0
"my" 0.0956327701625757 0.0432392365186238 0
"h" 0.0916480714058017 0.0432392365186238 0
"house" 0.0518010838380618 0.105009574402372 0
"lively" 0.0916480714058017 0.0432392365186238 0
"night" 0.0956327701625757 0.0370622027302489 0
"own" 0.0796939751354798 0.0617703378837482 0
"person" 0.0557857825948358 0.0988325406139972 0
"small" 0.0557857825948358 0.0988325406139972 0
"your" 0.0796939751354798 0.0617703378837482 0
"art" 0.0677398788651578 0.0741244054604979 0
"months" 0.103602167676124 0.0185311013651245 0
"same" 0.0876633726490277 0.0432392365186238 0
"sport" 0.0796939751354798 0.0555933040953734 0
"till" 0.0757092763787058 0.0617703378837482 0
"white" 0.0836786738922538 0.0494162703069986 0
"wish" 0.107586866432898 0.0123540675767496 0
"above" 0.0717245776219318 0.0617703378837482 0
"after" 0.0438316863245139 0.105009574402372 0
"breasts" 0.0916480714058017 0.0308851689418741 0
"desire" 0.0757092763787058 0.0555933040953734 0
"do" 0.0557857825948358 0.0864784730372475 0
"each" 0.0836786738922538 0.0432392365186238 0
"however" 0.0358622888109659 0.117363641979122 0
"old" 0.0597704813516098 0.0803014392488727 0
"price" 0.0557857825948358 0.0864784730372475 0
"too" 0.0717245776219318 0.0617703378837482 0
"way" 0.0438316863245139 0.105009574402372 0
"blue" 0.0677398788651578 0.0617703378837482 0
"could" 0.0717245776219318 0.0555933040953734 0
"least" 0.0876633726490277 0.0308851689418741 0
"lips" 0.0916480714058017 0.0247081351534993 0
"seems" 0.0557857825948358 0.0803014392488727 0
"companion" 0.0677398788651578 0.0555933040953734 0
"friend" 0.0796939751354798 0.0370622027302489 0
"indeed" 0.0597704813516098 0.067947371672123 0
"me" 0.0677398788651578 0.0555933040953734 0
"part" 0.0677398788651578 0.0555933040953734 0
"place" 0.0717245776219318 0.0494162703069986 0
"sweet" 0.0717245776219318 0.0494162703069986 0
"bed" 0.0518010838380618 0.0741244054604979 0
"before" 0.0557857825948358 0.067947371672123 0
"generally" 0.0518010838380618 0.0741244054604979 0
"just" 0.0478163850812879 0.0803014392488727 0
"piece" 0.0757092763787058 0.0370622027302489 0
"t" 0.0796939751354798 0.0308851689418741 0
"come" 0.0717245776219318 0.0370622027302489 0
"found" 0.0438316863245139 0.0803014392488727 0
"half" 0.0438316863245139 0.0803014392488727 0
"left" 0.0438316863245139 0.0803014392488727 0
"mr" 0.0757092763787058 0.0308851689418741 0
"once" 0.0757092763787058 0.0308851689418741 0
"under" 0.0677398788651578 0.0432392365186238 0
"down" 0.0637551801083838 0.0432392365186238 0
"figure" 0.0677398788651578 0.0370622027302489 0
"less" 0.0637551801083838 0.0432392365186238 0
"let" 0.0318775900541919 0.0926555068256223 0
"name" 0.0796939751354798 0.0185311013651245 0
"over" 0.0438316863245139 0.0741244054604979 0
"st" 0.0677398788651578 0.0370622027302489 0
"temper" 0.0717245776219318 0.0308851689418741 0
"wanton" 0.0478163850812879 0.067947371672123 0
"whilst" 0.0677398788651578 0.0370622027302489 0
"youth" 0.0597704813516098 0.0494162703069986 0
"company" 0.0398469875677399 0.0741244054604979 0
"five" 0.0358622888109659 0.0803014392488727 0
"how" 0.0597704813516098 0.0432392365186238 0
"large" 0.0358622888109659 0.0803014392488727 0
"natural" 0.0478163850812879 0.0617703378837482 0
"often" 0.0278928912974179 0.0926555068256223 0
"please" 0.0557857825948358 0.0494162703069986 0
"charming" 0.0557857825948358 0.0432392365186238 0
"cyprian" 0.0557857825948358 0.0432392365186238 0
"enchanting" 0.0438316863245139 0.0617703378837482 0
"expects" 0.0597704813516098 0.0370622027302489 0
"fire" 0.0597704813516098 0.0370622027302489 0
"home" 0.0597704813516098 0.0370622027302489 0
"manner" 0.0239081925406439 0.0926555068256223 0
"money" 0.0438316863245139 0.0617703378837482 0
"mouth" 0.0478163850812879 0.0555933040953734 0
"say" 0.0677398788651578 0.0247081351534993 0
"skin" 0.0478163850812879 0.0555933040953734 0
"true" 0.0557857825948358 0.0432392365186238 0
"twenty" 0.0398469875677399 0.067947371672123 0
"able" 0.0597704813516098 0.0308851689418741 0
"best" 0.0239081925406439 0.0864784730372475 0
"bosom" 0.0239081925406439 0.0864784730372475 0
"day" 0.0318775900541919 0.0741244054604979 0
"delicate" 0.0358622888109659 0.067947371672123 0
"female" 0.0278928912974179 0.0803014392488727 0
"friends" 0.0398469875677399 0.0617703378837482 0
"keeping" 0.0358622888109659 0.067947371672123 0
"kind" 0.0478163850812879 0.0494162703069986 0
"ladies" 0.0358622888109659 0.067947371672123 0
"said" 0.0199234937838699 0.0926555068256223 0
"soft" 0.0637551801083838 0.0247081351534993 0
"soul" 0.0597704813516098 0.0308851689418741 0
"think" 0.0438316863245139 0.0555933040953734 0
"tho" 0.0557857825948358 0.0370622027302489 0
"thought" 0.0597704813516098 0.0308851689418741 0
"year" 0.0677398788651578 0.0185311013651245 0
"below" 0.0677398788651578 0.0123540675767496 0
"business" 0.0199234937838699 0.0864784730372475 0
"desirable" 0.0318775900541919 0.067947371672123 0
"find" 0.0358622888109659 0.0617703378837482 0
"having" 0.0398469875677399 0.0555933040953734 0
"last" 0.0438316863245139 0.0494162703069986 0
"m" 0.0597704813516098 0.0247081351534993 0
"set" 0.0358622888109659 0.0617703378837482 0
"these" 0.0637551801083838 0.0185311013651245 0
"bliss" 0.0478163850812879 0.0370622027302489 0
"elegant" 0.0318775900541919 0.0617703378837482 0
"er" 0.0478163850812879 0.0370622027302489 0
"few" 0.0318775900541919 0.0617703378837482 0
"go" 0.0278928912974179 0.067947371672123 0
"kiss" 0.0557857825948358 0.0247081351534993 0
"light" 0.0557857825948358 0.0247081351534993 0
"makes" 0.0438316863245139 0.0432392365186238 0
"ns" 0.0677398788651578 0.00617703378837482 0
"o" 0.0478163850812879 0.0370622027302489 0
"particularly" 0.0557857825948358 0.0247081351534993 0
"rapture" 0.0518010838380618 0.0308851689418741 0
"seem" 0.0398469875677399 0.0494162703069986 0
"three" 0.0518010838380618 0.0308851689418741 0
"were" 0.0278928912974179 0.067947371672123 0
"world" 0.0398469875677399 0.0494162703069986 0
"y" 0.0597704813516098 0.0185311013651245 0
"almost" 0.0478163850812879 0.0308851689418741 0
"dress" 0.0239081925406439 0.067947371672123 0
"e" 0.0278928912974179 0.0617703378837482 0
"far" 0.0478163850812879 0.0308851689418741 0
"happy" 0.0318775900541919 0.0555933040953734 0
"keeps" 0.0278928912974179 0.0617703378837482 0
"limbs" 0.0478163850812879 0.0308851689418741 0
"means" 0.015938795027096 0.0803014392488727 0
"newman-street" 0.00796939751354798 0.0926555068256223 0
"p" 0.0518010838380618 0.0247081351534993 0
"pair" 0.0557857825948358 0.0185311013651245 0
"parts" 0.0518010838380618 0.0247081351534993 0
"plump" 0.0318775900541919 0.0555933040953734 0
"sense" 0.0518010838380618 0.0247081351534993 0
"tempting" 0.0398469875677399 0.0432392365186238 0
"away" 0.0438316863245139 0.0308851689418741 0
"brown" 0.0438316863245139 0.0308851689418741 0
"conversation" 0.015938795027096 0.0741244054604979 0
"enjoyment" 0.0318775900541919 0.0494162703069986 0
"favourite" 0.0318775900541919 0.0494162703069986 0
"form" 0.0478163850812879 0.0247081351534993 0
"formed" 0.0518010838380618 0.0185311013651245 0
"gives" 0.0398469875677399 0.0370622027302489 0
"j" 0.0518010838380618 0.0185311013651245 0
"known" 0.0438316863245139 0.0308851689418741 0
"leg" 0.0398469875677399 0.0370622027302489 0
"luscious" 0.0518010838380618 0.0185311013651245 0
"mistress" 0.0358622888109659 0.0432392365186238 0
"nothing" 0.0278928912974179 0.0555933040953734 0
"power" 0.0398469875677399 0.0370622027302489 0
"seldom" 0.0239081925406439 0.0617703378837482 0
"taste" 0.0398469875677399 0.0370622027302489 0
"thinks" 0.0358622888109659 0.0432392365186238 0
"took" 0.015938795027096 0.0741244054604979 0
"another" 0.0318775900541919 0.0432392365186238 0
"better" 0.0398469875677399 0.0308851689418741 0
"both" 0.0398469875677399 0.0308851689418741 0
"care" 0.0358622888109659 0.0370622027302489 0
"country" 0.0239081925406439 0.0555933040953734 0
"dear" 0.0557857825948358 0.00617703378837482 0
"education" 0.0278928912974179 0.0494162703069986 0
"fully" 0.0557857825948358 0.00617703378837482 0
"general" 0.0518010838380618 0.0123540675767496 0
"handsome" 0.0318775900541919 0.0432392365186238 0
"ing" 0.0597704813516098 0 0
"lately" 0.0438316863245139 0.0247081351534993 0
"lives" 0.00796939751354798 0.0803014392488727 0
"lovers" 0.0438316863245139 0.0247081351534993 0
"near" 0.0199234937838699 0.0617703378837482 0
"open" 0.0278928912974179 0.0494162703069986 0
"point" 0.0478163850812879 0.0185311013651245 0
"public" 0.0358622888109659 0.0370622027302489 0
"quite" 0.0518010838380618 0.0123540675767496 0
"round" 0.0438316863245139 0.0247081351534993 0
"see" 0.0438316863245139 0.0247081351534993 0
"seen" 0.0239081925406439 0.0555933040953734 0
"shall" 0.0438316863245139 0.0247081351534993 0
"since" 0.0318775900541919 0.0432392365186238 0
"through" 0.0438316863245139 0.0247081351534993 0
"visit" 0.0398469875677399 0.0308851689418741 0
"warm" 0.0398469875677399 0.0308851689418741 0
"again" 0.0278928912974179 0.0432392365186238 0
"betsy" 0.0557857825948358 0 0
"did" 0.0318775900541919 0.0370622027302489 0
"foot" 0.0398469875677399 0.0247081351534993 0
"hour" 0.0398469875677399 0.0247081351534993 0
"joys" 0.0398469875677399 0.0247081351534993 0
"lady^s" 0.0318775900541919 0.0370622027302489 0
"loves" 0.0478163850812879 0.0123540675767496 0
"meet" 0.0438316863245139 0.0185311013651245 0
"new" 0.0239081925406439 0.0494162703069986 0
"nineteen" 0.0199234937838699 0.0555933040953734 0
"nymph" 0.0318775900541919 0.0370622027302489 0
"particular" 0.0358622888109659 0.0308851689418741 0
"perfectly" 0.0398469875677399 0.0247081351534993 0
"pounds" 0.0398469875677399 0.0247081351534993 0
"remarkably" 0.0478163850812879 0.0123540675767496 0
"therefore" 0.0398469875677399 0.0247081351534993 0
"breast" 0.0239081925406439 0.0432392365186238 0
"countenance" 0.0278928912974179 0.0370622027302489 0
"desires" 0.0358622888109659 0.0247081351534993 0
"even" 0.0199234937838699 0.0494162703069986 0
"features" 0.00796939751354798 0.067947371672123 0
"firm" 0.0398469875677399 0.0185311013651245 0
"k" 0.0518010838380618 0 0
"keep" 0.0199234937838699 0.0494162703069986 0
"keeper" 0.0318775900541919 0.0308851689418741 0
"looks" 0.0199234937838699 0.0494162703069986 0
"met" 0.0438316863245139 0.0123540675767496 0
"middle" 0.0239081925406439 0.0432392365186238 0
"moment" 0.0358622888109659 0.0247081351534993 0
"oh" 0.0478163850812879 0.00617703378837482 0
"perhaps" 0.0398469875677399 0.0185311013651245 0
"re-" 0.0518010838380618 0 0
"receive" 0.0438316863245139 0.0123540675767496 0
"red" 0.0318775900541919 0.0308851689418741 0
"six" 0.0398469875677399 0.0185311013651245 0
"soho" 0.0278928912974179 0.0370622027302489 0
"tender" 0.0358622888109659 0.0247081351534993 0
"variety" 0.0438316863245139 0.0123540675767496 0
"wishes" 0.0278928912974179 0.0370622027302489 0
"within" 0.0438316863245139 0.0123540675767496 0
"account" 0.0199234937838699 0.0432392365186238 0
"admirers" 0.0239081925406439 0.0370622027302489 0
"attack" 0.0398469875677399 0.0123540675767496 0
"back" 0.0358622888109659 0.0185311013651245 0
"be-" 0.0478163850812879 0 0
"birch" 0.00398469875677399 0.067947371672123 0
"certain" 0.0199234937838699 0.0432392365186238 0
"colour" 0.011954096270322 0.0555933040953734 0
"degree" 0.00796939751354798 0.0617703378837482 0
"dresses" 0.015938795027096 0.0494162703069986 0
"dying" 0.0278928912974179 0.0308851689418741 0
"elegantly" 0.011954096270322 0.0555933040953734 0
"embrace" 0.0358622888109659 0.0185311013651245 0
"enough" 0.0318775900541919 0.0247081351534993 0
"f" 0.0358622888109659 0.0185311013651245 0
"fortune" 0.00796939751354798 0.0617703378837482 0
"frame" 0.0358622888109659 0.0185311013651245 0
"fresh" 0.0318775900541919 0.0247081351534993 0
"g" 0.0358622888109659 0.0185311013651245 0
"green" 0.0199234937838699 0.0432392365186238 0
"high" 0.015938795027096 0.0494162703069986 0
"knowing" 0.0358622888109659 0.0185311013651245 0
"look" 0.0278928912974179 0.0308851689418741 0
"loose" 0.0398469875677399 0.0123540675767496 0
"lost" 0.0358622888109659 0.0185311013651245 0
"love^s" 0.0358622888109659 0.0185311013651245 0
"number" 0.011954096270322 0.0555933040953734 0
"off" 0.0199234937838699 0.0432392365186238 0
"parents" 0.0239081925406439 0.0370622027302489 0
"pay" 0.0318775900541919 0.0247081351534993 0
"possesses" 0.0318775900541919 0.0247081351534993 0
"pride" 0.0358622888109659 0.0185311013651245 0
"proper" 0.0239081925406439 0.0370622027302489 0
"readers" 0.0398469875677399 0.0123540675767496 0
"ready" 0.0239081925406439 0.0370622027302489 0
"ringlets" 0.0318775900541919 0.0247081351534993 0
"rod" 0 0.0741244054604979 0
"sure" 0.0278928912974179 0.0308851689418741 0
"takes" 0.0358622888109659 0.0185311013651245 0
"thing" 0.015938795027096 0.0494162703069986 0
"thou" 0.0358622888109659 0.0185311013651245 0
"told" 0.0278928912974179 0.0308851689418741 0
"tongue" 0.0358622888109659 0.0185311013651245 0
"turn" 0.015938795027096 0.0494162703069986 0
"want" 0.0358622888109659 0.0185311013651245 0
"while" 0.00796939751354798 0.0617703378837482 0
"women" 0.00796939751354798 0.0617703378837482 0
"beauties" 0.0358622888109659 0.0123540675767496 0
"bed-fellow" 0.0199234937838699 0.0370622027302489 0
"birth" 0.0318775900541919 0.0185311013651245 0
"charm" 0.0438316863245139 0 0
"cheeks" 0.0239081925406439 0.0308851689418741 0
"court" 0.0278928912974179 0.0247081351534993 0
"daughter" 0.0239081925406439 0.0308851689418741 0
"favours" 0.015938795027096 0.0432392365186238 0
"field" 0.0358622888109659 0.0123540675767496 0
"floor" 0 0.067947371672123 0
"frequently" 0.0199234937838699 0.0370622027302489 0
"gave" 0.0278928912974179 0.0247081351534993 0
"grace" 0.0358622888109659 0.0123540675767496 0
"greatest" 0.0318775900541919 0.0185311013651245 0
"humour" 0.0199234937838699 0.0370622027302489 0
"in-" 0.0438316863245139 0 0
"line" 0.0278928912974179 0.0247081351534993 0
"ll" 0.0398469875677399 0.00617703378837482 0
"melting" 0.0438316863245139 0 0
"mutual" 0.0278928912974179 0.0247081351534993 0
"none" 0.0318775900541919 0.0185311013651245 0
"others" 0.0239081925406439 0.0308851689418741 0
"panting" 0.0278928912974179 0.0247081351534993 0
"pound" 0.015938795027096 0.0432392365186238 0
"put" 0.0239081925406439 0.0308851689418741 0
"rd" 0.0398469875677399 0.00617703378837482 0
"reader" 0.0278928912974179 0.0247081351534993 0
"sex" 0.011954096270322 0.0494162703069986 0
"shillings" 0.0199234937838699 0.0370622027302489 0
"speak" 0.0438316863245139 0 0
"sum" 0.0318775900541919 0.0185311013651245 0
"support" 0.0358622888109659 0.0123540675767496 0
"taught" 0.0239081925406439 0.0308851689418741 0
"us" 0.0278928912974179 0.0247081351534993 0
"use" 0.0318775900541919 0.0185311013651245 0
"whom" 0.011954096270322 0.0494162703069986 0
"among" 0.011954096270322 0.0432392365186238 0
"appetite" 0.0358622888109659 0.00617703378837482 0
"began" 0.0358622888109659 0.00617703378837482 0
"boy" 0.0239081925406439 0.0247081351534993 0
"cast" 0.0278928912974179 0.0185311013651245 0
"certainly" 0.011954096270322 0.0432392365186238 0
"charlotte" 0.0398469875677399 0 0
"charmer" 0.0318775900541919 0.0123540675767496 0
"chearful" 0.0398469875677399 0 0
"child" 0.015938795027096 0.0370622027302489 0
"delicious" 0.0318775900541919 0.0123540675767496 0
"delightful" 0.0318775900541919 0.0123540675767496 0
"east" 0.0318775900541919 0.0123540675767496 0
"ex-" 0.0398469875677399 0 0
"fall" 0.0239081925406439 0.0247081351534993 0
"flame" 0.0278928912974179 0.0185311013651245 0
"four" 0.0318775900541919 0.0123540675767496 0
"french" 0.0358622888109659 0.00617703378837482 0
"game" 0.00796939751354798 0.0494162703069986 0
"giving" 0.0278928912974179 0.0185311013651245 0
"glass" 0.0318775900541919 0.0123540675767496 0
"goddess" 0.00398469875677399 0.0555933040953734 0
"graces" 0.0239081925406439 0.0247081351534993 0
"heaven" 0.0318775900541919 0.0123540675767496 0
"know" 0.0239081925406439 0.0247081351534993 0
"language" 0.0358622888109659 0.00617703378837482 0
"leave" 0.0239081925406439 0.0247081351534993 0
"low" 0.0239081925406439 0.0247081351534993 0
"nancy" 0.0199234937838699 0.0308851689418741 0
"native" 0.0358622888109659 0.00617703378837482 0
"nature^s" 0.0318775900541919 0.0123540675767496 0
"neat" 0.0239081925406439 0.0247081351534993 0
"obliged" 0.015938795027096 0.0370622027302489 0
"partner" 0.0318775900541919 0.0123540675767496 0
"passion" 0.015938795027096 0.0370622027302489 0
"peculiar" 0.015938795027096 0.0370622027302489 0
"perfect" 0.0278928912974179 0.0185311013651245 0
"period" 0.0358622888109659 0.00617703378837482 0
"rose" 0.0199234937838699 0.0308851689418741 0
"speaks" 0.0358622888109659 0.00617703378837482 0
"tell" 0.0278928912974179 0.0185311013651245 0
"ten" 0.0278928912974179 0.0185311013651245 0
"thee" 0.0278928912974179 0.0185311013651245 0
"thy" 0.015938795027096 0.0370622027302489 0
"twelve" 0.0239081925406439 0.0247081351534993 0
"upper" 0.00796939751354798 0.0494162703069986 0
"v" 0.0278928912974179 0.0185311013651245 0
"altho" 0.0318775900541919 0.00617703378837482 0
"appear" 0.0278928912974179 0.0123540675767496 0
"attention" 0.0239081925406439 0.0185311013651245 0
"behold" 0.0278928912974179 0.0123540675767496 0
"blind" 0.015938795027096 0.0308851689418741 0
"burning" 0.0358622888109659 0 0
"captain" 0.0199234937838699 0.0247081351534993 0
"coming" 0.0278928912974179 0.0123540675767496 0
"con-" 0.0358622888109659 0 0
"covered" 0.0318775900541919 0.00617703378837482 0
"customers" 0.011954096270322 0.0370622027302489 0
"dancing" 0.0199234937838699 0.0247081351534993 0
"during" 0.0199234937838699 0.0247081351534993 0
"early" 0.0318775900541919 0.00617703378837482 0
"end" 0.0199234937838699 0.0247081351534993 0
"extraordinary" 0.011954096270322 0.0370622027302489 0
"fashion" 0.00796939751354798 0.0432392365186238 0
"free" 0.011954096270322 0.0370622027302489 0
"gentlemen" 0.00796939751354798 0.0432392365186238 0
"girls" 0.015938795027096 0.0308851689418741 0
"given" 0.00796939751354798 0.0432392365186238 0
"glance" 0.0239081925406439 0.0185311013651245 0
"glow" 0.015938795027096 0.0308851689418741 0
"grove" 0.0318775900541919 0.00617703378837482 0
"hazel" 0.0358622888109659 0 0
"height" 0.0278928912974179 0.0123540675767496 0
"honour" 0.0239081925406439 0.0185311013651245 0
"kept" 0.011954096270322 0.0370622027302489 0
"legs" 0.0278928912974179 0.0123540675767496 0
"liquid" 0.0278928912974179 0.0123540675767496 0
"lover" 0.0278928912974179 0.0123540675767496 0
"loving" 0.011954096270322 0.0370622027302489 0
"market" 0.0239081925406439 0.0185311013651245 0
"men" 0.0278928912974179 0.0123540675767496 0
"mind" 0.0239081925406439 0.0185311013651245 0
"mother" 0.0278928912974179 0.0123540675767496 0
"neither" 0.0278928912974179 0.0123540675767496 0
"next" 0.00796939751354798 0.0432392365186238 0
"objection" 0.0318775900541919 0.00617703378837482 0
"opportunity" 0 0.0555933040953734 0
"pleased" 0.0199234937838699 0.0247081351534993 0
"possibly" 0.0278928912974179 0.0123540675767496 0
"powerful" 0.0278928912974179 0.0123540675767496 0
"queen" 0.0199234937838699 0.0247081351534993 0
"received" 0.0199234937838699 0.0247081351534993 0
"regular" 0.011954096270322 0.0370622027302489 0
"return" 0.015938795027096 0.0308851689418741 0
"rous" 0.0278928912974179 0.0123540675767496 0
"share" 0.0199234937838699 0.0247081351534993 0
"side" 0.0199234937838699 0.0247081351534993 0
"sings" 0.0318775900541919 0.00617703378837482 0
"sparkling" 0.011954096270322 0.0370622027302489 0
"spot" 0.0278928912974179 0.0123540675767496 0
"spring" 0.0318775900541919 0.00617703378837482 0
"stature" 0.0278928912974179 0.0123540675767496 0
